NAME,CODE,SEVERITY,ORIGIN,DESCRIPTION
Component-CA-config-modified,453,Info(6),Authorizer,Component CA config modified
User-added,500,Info(6),User Store,New user added to the system.
User-modified,501,Info(6),User Store,User has been modified.
User-removed,502,Info(6),User Store,User has been removed.
User-password-modified,510,Info(6),User Store,User password has been modified.
Workflow-added,600,Info(6),Workflow Engine,A workflow was added.
Workflow-modified,601,Info(6),Workflow Engine,A workflow was modified.
Workflow-removed,602,Info(6),Workflow Engine,A workflow was removed.
Request-added,610,Info(6),Workflow Engine,A request was added.
Request-removed,612,Info(6),Workflow Engine,A request was removed.
Decision-made,620,Info(6),Workflow Engine,A decision has been made on a request.
Email-sent,630,Info(6),Workflow Engine,A email notification has been sent.
Email-configuration-modified,631,Info(6),Workflow Engine,Email configuration has been modified.
Email-not-sent,632,Info(6),Workflow Engine,Email not sent.
Log-downloaded,700,Info(6),,Log files have been downloaded.
Log-level-modified,710,Info(6),,The log level was modified.
Host-added,801,Info(6),Host Store,A host was added.
Host-modified,802,Info(6),Host Store,A host was modified.
Host-removed,803,Info(6),Host Store,A host was removed.
Host-service-connection-re-established,804,Info(6),Host Store,A host service connection re-established.
Host-service-connection-failure,805,Warning(4),Host Store,A host service connection failed.
Host-disabled-state-changed,806,Info(6),Host Store,Host disabled state changed.
White-list-added,811,Info(6),Host Store,A white list was added.
White-list-modified,812,Info(6),Host Store,A white list was modified.
White-list-removed,813,Info(6),Host Store,A white list was removed.
SessionHost-Certificate-Added,814,Info(6),Host Store,SessionHost certificate added
SessionHost-Certificate-Removed,815,Info(6),Host Store,SessionHost certificate removed
Connection-terminated,900,Info(6),Connection Manager,Connection terminated.
Connection-terminated-for-host,901,Info(6),Connection Manager,Connection terminated for host.
Connection-terminated-for-user,902,Info(6),Connection Manager,Connection terminated for user.
Licensed-connection-count-exceeded,903,Warning(4),Connection Manager,Licensed connection count exceeded.
Access-role-granted,910,Info(6),Connection Manager,Access role granted.
Access-role-revoked,911,Info(6),Connection Manager,Access role revoked.
Connections-meta-removed,920,Info(6),Connection Manager,Connections meta removed.
Connections-detached,921,Info(6),Connection Manager,Connections partition detached.
Connection-blocked-by-ueba,930,Alert(1),Connection Manager,Connection blocked by Ueba.
Connection-unusual-behavior-by-ueba,931,Warning(4),Connection Manager,Connection marked as unusual by Ueba.
Connection-marked-anomaly-by-ueba,932,Alert(1),Connection Manager,Connection marked as anomaly by Ueba.
Trail-opened,1000,Info(6),"Connection Manager, RDP Bastion, RDP Proxy, SSH Proxy",Trail opened.
Trail-open-failed,1001,Alert(1),"Connection Manager, RDP Bastion, RDP Proxy, SSH Proxy",Failed to open trail.
Trail-file-open-failed,1002,Alert(1),"Connection Manager, RDP Proxy, SSH Proxy",Failed to open trail file.
Trail-file-read-failed,1003,Alert(1),"Connection Manager, RDP Proxy, SSH Proxy",Failed to read trail file.
Trail-removed,1004,Info(6),Connection Manager,Trail removed.
Trail-remove-failed,1005,Warning(4),Connection Manager,Failed to remove trail.
Trail-file-integrity-failed,1006,Alert(1),Connection Manager,Trail file integrity check failed.
Trail-file-downloaded,1007,Info(6),Connection Manager,Trail file downloaded.
Config-checksum-added,1100,Info(6),"Authentication, Authorizer, Connection Manager, Extender Service, Host Store, License Manager, Monitor Service, Network Access Manager, RDP Bastion, RDP Proxy, SSH Bastion, SSH Proxy, Role Store, Secrets Manager, Trail Index, User Store, Secrets Vault, Workflow Engine",A config file checksum was added.
Config-checksum-changed,1101,Info(6),"Authentication, Authorizer, Connection Manager, Extender Service, Host Store, License Manager, Monitor Service, Network Access Manager, RDP Bastion, RDP Proxy, SSH Bastion, SSH Proxy, Role Store, Secrets Manager, Trail Index, User Store, Secrets Vault, Workflow Engine",A config file checksum has changed.
Transcript-status-scheduled,1201,Info(6),Trail Index,Transcript status: scheduled.
Transcript-status-indexing,1202,Info(6),Trail Index,Transcript status: indexing.
Transcript-status-indexed,1203,Info(6),Trail Index,Transcript status: indexed.
Transcript-status-error,1204,Warning(4),Trail Index,Transcript status: error.
Transcript-status-not-indexed,1205,Info(6),Trail Index,Transcript status: not indexed.
Transcript-trail-removed,1206,Info(6),Trail Index,Transcript trail removed.
Transcript-opened,1207,Info(6),Trail Index,Transcript opened.
Disk-full,1301,Critical(2),Monitor Service,Disk full.
Auditevent-removed,1302,Info(6),Monitor Service,Auditevent removed.
PrivX-restarted,1303,Info(6),Monitor Service,PrivX restarted.
PrivX-db-clock-out-of-sync,1304,Warning(4),Monitor Service,PrivX and Database clocks are out of sync.
PrivX-external-component-hard-disk-full,1305,Warning(4),Monitor Service,PrivX external component hard disk is full.
Secret-created,1400,Info(6),Secrets Vault,Secret created.
Secret-removed,1401,Info(6),Secrets Vault,Secret removed.
Secret-accessed,1402,Info(6),Secrets Vault,Secret accessed.
Secret-changed,1403,Info(6),Secrets Vault,Secret changed.
Secret-metadata-changed,1404,Info(6),Secrets Vault,Secret's metadata changed.
Settings-modified,1501,Info(6),,Settings modified.
Network-target-created,1600,Info(6),Network Access Manager,Network target created.
Network-target-modified,1601,Info(6),Network Access Manager,Network target modified.
Network-target-removed,1602,Info(6),Network Access Manager,Network target removed.
Router-initialized,1603,Info(6),Network Access Manager,Router initialized for network access manager.
Router-init-failed,1604,Warning(4),Network Access Manager,Router initialization for network access manager failed.
Network-session-opened,1605,Info(6),Network Access Manager,Network session opened.
Network-session-closed,1606,Info(6),Network Access Manager,Network session closed.
Network-session-failure,1607,Warning(4),Network Access Manager,Network session failure.
Network-session-fatal-failure,1608,Alert(1),Network Access Manager,Network session fatal failure.
Network-target-disabled-state-changed,1609,Info(6),Network Access Manager,Network target disabled state changed.
Password-rotation-policy-created,1700,Info(6),Secrets Manager,Password rotation policy created.
Password-rotation-policy-modified,1701,Info(6),Secrets Manager,Password rotation policy modified.
Password-rotation-policy-removed,1702,Info(6),Secrets Manager,Password rotation policy removed.
Password-rotation-script-created,1703,Info(6),Secrets Manager,Password rotation script created.
Password-rotation-script-modified,1704,Info(6),Secrets Manager,Password rotation script modified.
Password-rotation-script-removed,1705,Info(6),Secrets Manager,Password rotation script removed.
Password-rotation-failure,1706,Alert(1),Secrets Manager,Password rotation failure.
Password-rotation-success,1707,Info(6),Secrets Manager,Password rotation success.
Target-domain-created,1710,Info(6),Secrets Manager,Target domain created.
Target-domain-modified,1711,Info(6),Secrets Manager,Target domain modified.
Target-domain-deleted,1712,Info(6),Secrets Manager,Target domain deleted.
Target-domain-account-scan-success,1713,Info(6),Secrets Manager,Target domain account scan success.
Target-domain-account-scan-failure,1714,Info(6),Secrets Manager,Target domain account scan failure.
Target-domain-account-onboarding-failure,1715,Info(6),Secrets Manager,Target domain account onboarding failure.
Managed-account-created,1720,Info(6),Secrets Manager,Managed account created.
Managed-account-modified,1721,Info(6),Secrets Manager,Managed account modified.
Managed-account-deleted,1722,Info(6),Secrets Manager,Managed account deleted.
Managed-account-batch-created,1723,Info(6),Secrets Manager,Managed account batch created.
Managed-account-batch-modified,1724,Info(6),Secrets Manager,Managed account batch modified.
Managed-account-batch-deleted,1725,Info(6),Secrets Manager,Managed account batch deleted.
Target-domain-account-modified,1730,Info(6),Secrets Manager,Target domain account modified.
Secret-checked-out,1740,Info(6),Secrets Manager,Secret checked out.
Secret-released,1741,Info(6),Secrets Manager,Secret released.
Secret-checkout-expired,1742,Info(6),Secrets Manager,Secret checkedout expired.
SSH-live-event,1800,Info(6),"SSH Bastion, SSH Proxy",SSH live event
SSH-whitelisted-command-allowed,1801,Info(6),"SSH Bastion, SSH Proxy",SSH whitelisted command allowed
SSH-non-whitelisted-command-allowed,1802,Info(6),"SSH Bastion, SSH Proxy",SSH non-whitelisted command allowed
SSH-command-blocked,1803,Info(6),"SSH Bastion, SSH Proxy",SSH command blocked
Invalidated-session-cache-full,1900,Info(6),"Authentication, Authorizer, Connection Manager, Extender Service, Host Store, License Manager, Monitor Service, Network Access Manager, RDP Bastion, RDP Proxy, SSH Bastion, SSH Proxy, Role Store, Secrets Manager, Trail Index, User Store, Secrets Vault, Workflow Engine",The invalidated session cache is full
Database-session-started,2000,Info(6),Database Proxy,Database session started
Database-session-closed,2001,Info(6),Database Proxy,Database session closed
Database-session-failure,2002,Info(6),Database Proxy,Database-session failure
Database-session-terminated,2003,Critical(2),Database Proxy,Database-session-terminated
Database-session-rejected,2004,Info(6),Database Proxy,Database-session-rejected
MobileGW-privx-registration-success,2100,Info(6),,Mobile gateway privx registrations success
MobileGW-privx-registration-failure,2101,Info(6),,Mobile gateway privx registrations failure
MobileGW-privx-registration-terminated,2102,Info(6),,Mobile gateway privx registrations terminated
MobileGW-user-paired-device,2103,Info(6),,Mobile gateway user paired device
MobileGW-user-unpaired-device,2104,Info(6),,Mobile gateway user unpaired device
PrivX-extender-remote-update-triggered,2200,Info(6),Extender Service,PrivX Extender remote update triggered.
Rpm-package-uploaded,2201,Info(6),Extender Service,Rpm package was uploaded.
Rpm-package-removed,2202,Info(6),Extender Service,Rpm package was removed.
API-target-created,2300,Info(6),API Proxy,API target created.
API-target-modified,2301,Info(6),API Proxy,API target modified.
API-target-deleted,2302,Info(6),API Proxy,API target deleted.
API-client-credential-created,2303,Info(6),API Proxy,API client credential created.
API-client-credential-modified,2304,Info(6),API Proxy,API client credential modified.
API-client-credential-deleted,2305,Info(6),API Proxy,API client credential deleted.
API-proxy-session-started,2306,Info(6),API Proxy,API proxy session started.
API-proxy-session-closed,2307,Info(6),API Proxy,API proxy session closed.
API-proxy-session-fatal-failure,2308,Alert(1),API Proxy,API proxy session fatal failure.
API-proxy-session-recording-started,2309,Info(6),API Proxy,API proxy session recording started.
API-proxy-session-recording-closed,2310,Info(6),API Proxy,API proxy session recording closed.
API-proxy-session-recording-fatal-failure,2311,Alert(1),API Proxy,API proxy session recording fatal failure.
